name,moref,parent_host,mac_address,link_status,speed,duplex,driver,firmware,pci_address,notes
vmnic0,nic-host-1000-0,host-1000,00:50:56:b1:e4:1b,Up,40000,Full,vmxnet3,1.4.5,0000:52:00.0,NIC 1 for host HQ-A-ESX-01-01
vmnic1,nic-host-1000-1,host-1000,00:50:56:a6:a2:d4,Up,25000,Full,vmxnet3,1.9.5,0000:77:00.1,NIC 2 for host HQ-A-ESX-01-01
vmnic2,nic-host-1000-2,host-1000,00:50:56:35:a4:4d,Up,10000,Full,vmxnet3,1.2.5,0000:01:00.2,NIC 3 for host HQ-A-ESX-01-01
vmnic3,nic-host-1000-3,host-1000,00:50:56:a2:bc:b4,Up,10000,Full,vmxnet3,1.4.3,0000:88:00.3,NIC 4 for host HQ-A-ESX-01-01
vmnic4,nic-host-1000-4,host-1000,00:50:56:8a:6e:2d,Up,10000,Full,vmxnet3,1.9.6,0000:68:00.4,NIC 5 for host HQ-A-ESX-01-01
vmnic5,nic-host-1000-5,host-1000,00:50:56:e7:c9:40,Up,25000,Full,vmxnet3,1.2.4,0000:42:00.5,NIC 6 for host HQ-A-ESX-01-01
vmnic6,nic-host-1000-6,host-1000,00:50:56:f5:d1:0a,Up,10000,Full,vmxnet3,1.2.7,0000:49:00.6,NIC 7 for host HQ-A-ESX-01-01
vmnic7,nic-host-1000-7,host-1000,00:50:56:75:88:ea,Up,10000,Full,vmxnet3,1.4.5,0000:34:00.7,NIC 8 for host HQ-A-ESX-01-01
vmnic0,nic-host-1001-0,host-1001,00:50:56:1b:b0:a3,Up,25000,Full,vmxnet3,1.1.3,0000:04:00.0,NIC 1 for host HQ-A-ESX-01-02
vmnic1,nic-host-1001-1,host-1001,00:50:56:d5:b6:f9,Up,40000,Full,vmxnet3,1.6.4,0000:51:00.1,NIC 2 for host HQ-A-ESX-01-02
vmnic2,nic-host-1001-2,host-1001,00:50:56:a2:b5:8b,Up,40000,Full,vmxnet3,1.2.6,0000:85:00.2,NIC 3 for host HQ-A-ESX-01-02
vmnic3,nic-host-1001-3,host-1001,00:50:56:2f:6a:fc,Up,40000,Full,vmxnet3,1.1.8,0000:83:00.3,NIC 4 for host HQ-A-ESX-01-02
vmnic4,nic-host-1001-4,host-1001,00:50:56:bf:3e:7c,Up,10000,Full,vmxnet3,1.5.6,0000:16:00.4,NIC 5 for host HQ-A-ESX-01-02
vmnic5,nic-host-1001-5,host-1001,00:50:56:d1:aa:5f,Up,40000,Full,vmxnet3,1.9.7,0000:24:00.5,NIC 6 for host HQ-A-ESX-01-02
vmnic6,nic-host-1001-6,host-1001,00:50:56:1a:5b:9d,Up,10000,Full,vmxnet3,1.5.7,0000:65:00.6,NIC 7 for host HQ-A-ESX-01-02
vmnic7,nic-host-1001-7,host-1001,00:50:56:0b:b3:01,Up,10000,Full,vmxnet3,1.7.7,0000:74:00.7,NIC 8 for host HQ-A-ESX-01-02
vmnic0,nic-host-1002-0,host-1002,00:50:56:44:9c:9a,Up,40000,Full,vmxnet3,1.8.1,0000:11:00.0,NIC 1 for host HQ-A-ESX-01-03
vmnic1,nic-host-1002-1,host-1002,00:50:56:4b:3c:16,Up,40000,Full,vmxnet3,1.3.4,0000:99:00.1,NIC 2 for host HQ-A-ESX-01-03
vmnic2,nic-host-1002-2,host-1002,00:50:56:02:54:7c,Up,10000,Full,vmxnet3,1.5.2,0000:35:00.2,NIC 3 for host HQ-A-ESX-01-03
vmnic3,nic-host-1002-3,host-1002,00:50:56:98:e1:73,Up,40000,Full,vmxnet3,1.5.0,0000:86:00.3,NIC 4 for host HQ-A-ESX-01-03
vmnic4,nic-host-1002-4,host-1002,00:50:56:8d:e5:e3,Up,25000,Full,vmxnet3,1.2.1,0000:24:00.4,NIC 5 for host HQ-A-ESX-01-03
vmnic5,nic-host-1002-5,host-1002,00:50:56:a7:d3:98,Up,40000,Full,vmxnet3,1.2.5,0000:63:00.5,NIC 6 for host HQ-A-ESX-01-03
vmnic6,nic-host-1002-6,host-1002,00:50:56:69:f2:b1,Up,40000,Full,vmxnet3,1.7.0,0000:15:00.6,NIC 7 for host HQ-A-ESX-01-03
vmnic7,nic-host-1002-7,host-1002,00:50:56:0c:65:eb,Up,25000,Full,vmxnet3,1.9.4,0000:51:00.7,NIC 8 for host HQ-A-ESX-01-03
vmnic0,nic-host-1003-0,host-1003,00:50:56:da:63:cc,Up,10000,Full,vmxnet3,1.3.1,0000:41:00.0,NIC 1 for host HQ-A-ESX-01-04
vmnic1,nic-host-1003-1,host-1003,00:50:56:a2:b1:10,Up,25000,Full,vmxnet3,1.5.6,0000:51:00.1,NIC 2 for host HQ-A-ESX-01-04
vmnic2,nic-host-1003-2,host-1003,00:50:56:42:a5:97,Up,10000,Full,vmxnet3,1.8.4,0000:79:00.2,NIC 3 for host HQ-A-ESX-01-04
vmnic3,nic-host-1003-3,host-1003,00:50:56:ca:49:f6,Up,40000,Full,vmxnet3,1.6.1,0000:28:00.3,NIC 4 for host HQ-A-ESX-01-04
vmnic4,nic-host-1003-4,host-1003,00:50:56:ff:c8:f4,Up,25000,Full,vmxnet3,1.5.2,0000:89:00.4,NIC 5 for host HQ-A-ESX-01-04
vmnic5,nic-host-1003-5,host-1003,00:50:56:29:ed:f4,Up,25000,Full,vmxnet3,1.1.9,0000:39:00.5,NIC 6 for host HQ-A-ESX-01-04
vmnic6,nic-host-1003-6,host-1003,00:50:56:0e:15:02,Down,25000,Full,vmxnet3,1.5.8,0000:91:00.6,NIC 7 for host HQ-A-ESX-01-04
vmnic7,nic-host-1003-7,host-1003,00:50:56:99:ba:8c,Up,40000,Full,vmxnet3,1.1.8,0000:40:00.7,NIC 8 for host HQ-A-ESX-01-04
vmnic0,nic-host-1004-0,host-1004,00:50:56:b4:cb:64,Up,25000,Full,vmxnet3,1.3.3,0000:58:00.0,NIC 1 for host HQ-A-ESX-01-05
vmnic1,nic-host-1004-1,host-1004,00:50:56:0e:a5:9d,Up,10000,Full,vmxnet3,1.7.6,0000:17:00.1,NIC 2 for host HQ-A-ESX-01-05
vmnic2,nic-host-1004-2,host-1004,00:50:56:e2:83:b0,Up,10000,Full,vmxnet3,1.1.8,0000:13:00.2,NIC 3 for host HQ-A-ESX-01-05
vmnic3,nic-host-1004-3,host-1004,00:50:56:d0:ad:c4,Up,10000,Full,vmxnet3,1.1.6,0000:64:00.3,NIC 4 for host HQ-A-ESX-01-05
vmnic4,nic-host-1004-4,host-1004,00:50:56:e4:bf:0a,Up,10000,Full,vmxnet3,1.8.9,0000:82:00.4,NIC 5 for host HQ-A-ESX-01-05
vmnic5,nic-host-1004-5,host-1004,00:50:56:2b:76:bb,Up,40000,Full,vmxnet3,1.9.8,0000:73:00.5,NIC 6 for host HQ-A-ESX-01-05
vmnic6,nic-host-1004-6,host-1004,00:50:56:95:ef:8b,Up,25000,Full,vmxnet3,1.4.8,0000:81:00.6,NIC 7 for host HQ-A-ESX-01-05
vmnic7,nic-host-1004-7,host-1004,00:50:56:b1:81:c1,Up,40000,Full,vmxnet3,1.1.7,0000:27:00.7,NIC 8 for host HQ-A-ESX-01-05
vmnic0,nic-host-1005-0,host-1005,00:50:56:79:c7:39,Up,40000,Full,vmxnet3,1.2.5,0000:88:00.0,NIC 1 for host HQ-A-ESX-02-01
vmnic1,nic-host-1005-1,host-1005,00:50:56:b9:e5:67,Up,10000,Full,vmxnet3,1.5.0,0000:84:00.1,NIC 2 for host HQ-A-ESX-02-01
vmnic2,nic-host-1005-2,host-1005,00:50:56:63:9d:1b,Up,40000,Full,vmxnet3,1.1.5,0000:11:00.2,NIC 3 for host HQ-A-ESX-02-01
vmnic3,nic-host-1005-3,host-1005,00:50:56:c6:3c:a8,Up,25000,Full,vmxnet3,1.8.1,0000:31:00.3,NIC 4 for host HQ-A-ESX-02-01
vmnic4,nic-host-1005-4,host-1005,00:50:56:bd:b6:46,Up,25000,Full,vmxnet3,1.7.5,0000:44:00.4,NIC 5 for host HQ-A-ESX-02-01
vmnic5,nic-host-1005-5,host-1005,00:50:56:6d:dd:8c,Up,10000,Full,vmxnet3,1.2.6,0000:64:00.5,NIC 6 for host HQ-A-ESX-02-01
vmnic6,nic-host-1005-6,host-1005,00:50:56:e5:e1:72,Up,10000,Full,vmxnet3,1.5.0,0000:74:00.6,NIC 7 for host HQ-A-ESX-02-01
vmnic7,nic-host-1005-7,host-1005,00:50:56:36:5e:cc,Up,40000,Full,vmxnet3,1.9.1,0000:12:00.7,NIC 8 for host HQ-A-ESX-02-01
vmnic0,nic-host-1006-0,host-1006,00:50:56:1b:b1:8b,Up,25000,Full,vmxnet3,1.4.6,0000:75:00.0,NIC 1 for host HQ-A-ESX-02-02
vmnic1,nic-host-1006-1,host-1006,00:50:56:ef:e2:c0,Up,25000,Full,vmxnet3,1.4.0,0000:83:00.1,NIC 2 for host HQ-A-ESX-02-02
vmnic2,nic-host-1006-2,host-1006,00:50:56:bb:30:13,Up,25000,Full,vmxnet3,1.2.9,0000:17:00.2,NIC 3 for host HQ-A-ESX-02-02
vmnic3,nic-host-1006-3,host-1006,00:50:56:c2:59:86,Up,10000,Full,vmxnet3,1.1.9,0000:29:00.3,NIC 4 for host HQ-A-ESX-02-02
vmnic4,nic-host-1006-4,host-1006,00:50:56:fb:1c:a7,Up,40000,Full,vmxnet3,1.7.4,0000:30:00.4,NIC 5 for host HQ-A-ESX-02-02
