name,moref,object_type,object_moref,category,value,created_date,modified_date,notes
TAG-Environment-1000,tag-1000,VM,vm-3820,Environment,APP,2022-11-17,2024-12-15,Environment tag for HQ-B-VM-APP-3820
TAG-Environment-1001,tag-1001,VM,vm-7483,Environment,INF,2023-11-30,2024-12-15,Environment tag for APAC-VM-INF-7483
TAG-Environment-1002,tag-1002,VM,vm-3732,Environment,MON,2020-11-07,2024-12-15,Environment tag for HQ-B-VM-MON-3732
TAG-Environment-1003,tag-1003,VM,vm-1772,Environment,APP,2022-01-25,2024-12-15,Environment tag for HQ-A-VM-APP-1772
TAG-Environment-1004,tag-1004,VM,vm-6742,Environment,WEB,2020-03-05,2024-12-15,Environment tag for EU-VM-WEB-6742
TAG-Environment-1005,tag-1005,VM,vm-7203,Environment,APP,2023-05-11,2024-12-15,Environment tag for APAC-VM-APP-7203
TAG-Environment-1006,tag-1006,VM,vm-6868,Environment,DB,2020-08-20,2024-12-15,Environment tag for EU-VM-DB-6868
TAG-Environment-1007,tag-1007,VM,vm-2067,Environment,WEB,2019-09-04,2024-12-15,Environment tag for HQ-A-VM-WEB-2067
TAG-Environment-1008,tag-1008,VM,vm-4543,Environment,WEB,2021-05-12,2024-12-15,Environment tag for HQ-B-VM-WEB-4543
TAG-Environment-1009,tag-1009,VM,vm-1166,Environment,SVC,2019-08-04,2024-12-15,Environment tag for HQ-A-VM-SVC-1166
TAG-Environment-1010,tag-1010,VM,vm-2342,Environment,SVC,2022-11-28,2024-12-15,Environment tag for HQ-A-VM-SVC-2342
TAG-Environment-1011,tag-1011,VM,vm-3006,Environment,INF,2024-10-01,2024-12-15,Environment tag for HQ-A-VM-INF-3006
TAG-Environment-1012,tag-1012,VM,vm-2190,Environment,APP,2024-09-15,2024-12-15,Environment tag for HQ-A-VM-APP-2190
TAG-Environment-1013,tag-1013,VM,vm-5373,Environment,SVC,2019-02-03,2024-12-15,Environment tag for HQ-B-VM-SVC-5373
TAG-Environment-1014,tag-1014,VM,vm-6044,Environment,SVC,2022-04-13,2024-12-15,Environment tag for NA-VM-SVC-6044
TAG-Environment-1015,tag-1015,VM,vm-3147,Environment,SVC,2023-08-16,2024-12-15,Environment tag for HQ-A-VM-SVC-3147
TAG-Environment-1016,tag-1016,VM,vm-6912,Environment,INF,2023-01-28,2024-12-15,Environment tag for EU-VM-INF-6912
TAG-Environment-1017,tag-1017,VM,vm-3092,Environment,MON,2023-09-13,2024-12-15,Environment tag for HQ-A-VM-MON-3092
TAG-Environment-1018,tag-1018,VM,vm-6548,Environment,SVC,2020-03-16,2024-12-15,Environment tag for EU-VM-SVC-6548
TAG-Environment-1019,tag-1019,VM,vm-3285,Environment,INF,2021-04-12,2024-12-15,Environment tag for HQ-A-VM-INF-3285
TAG-Environment-1020,tag-1020,VM,vm-3506,Environment,SVC,2023-03-30,2024-12-15,Environment tag for HQ-B-VM-SVC-3506
TAG-Environment-1021,tag-1021,VM,vm-3675,Environment,INF,2024-03-29,2024-12-15,Environment tag for HQ-B-VM-INF-3675
TAG-Environment-1022,tag-1022,VM,vm-5246,Environment,MON,2023-09-28,2024-12-15,Environment tag for HQ-B-VM-MON-5246
TAG-Environment-1023,tag-1023,VM,vm-5001,Environment,WEB,2023-10-17,2024-12-15,Environment tag for HQ-B-VM-WEB-5001
TAG-Environment-1024,tag-1024,VM,vm-3854,Environment,MON,2022-01-12,2024-12-15,Environment tag for HQ-B-VM-MON-3854
TAG-Environment-1025,tag-1025,VM,vm-4880,Environment,DB,2023-03-31,2024-12-15,Environment tag for HQ-B-VM-DB-4880
TAG-Environment-1026,tag-1026,VM,vm-2466,Environment,WEB,2021-08-12,2024-12-15,Environment tag for HQ-A-VM-WEB-2466
TAG-Environment-1027,tag-1027,VM,vm-6339,Environment,SVC,2024-10-19,2024-12-15,Environment tag for EU-VM-SVC-6339
TAG-Environment-1028,tag-1028,VM,vm-5994,Environment,WEB,2020-01-29,2024-12-15,Environment tag for NA-VM-WEB-5994
TAG-Environment-1029,tag-1029,VM,vm-4039,Environment,MON,2019-02-08,2024-12-15,Environment tag for HQ-B-VM-MON-4039
TAG-Environment-1030,tag-1030,VM,vm-4224,Environment,DB,2020-07-14,2024-12-15,Environment tag for HQ-B-VM-DB-4224
TAG-Environment-1031,tag-1031,VM,vm-1551,Environment,INF,2020-07-21,2024-12-15,Environment tag for HQ-A-VM-INF-1551
TAG-Environment-1032,tag-1032,VM,vm-2522,Environment,APP,2019-03-30,2024-12-15,Environment tag for HQ-A-VM-APP-2522
TAG-Environment-1033,tag-1033,VM,vm-5877,Environment,SVC,2021-07-03,2024-12-15,Environment tag for NA-VM-SVC-5877
TAG-Environment-1034,tag-1034,VM,vm-2694,Environment,APP,2022-05-08,2024-12-15,Environment tag for HQ-A-VM-APP-2694
TAG-Environment-1035,tag-1035,VM,vm-2834,Environment,DB,2023-01-24,2024-12-15,Environment tag for HQ-A-VM-DB-2834
TAG-Environment-1036,tag-1036,VM,vm-7590,Environment,SVC,2020-08-21,2024-12-15,Environment tag for APAC-VM-SVC-7590
