vm_moref,guest_os_full,ip_addresses,hostname,uptime,tools_status,tools_version,guest_state,cpu_usage,memory_usage,notes
vm-1000,Windows Server 2019 Standard,10.10.161.18,hq-a-vm-app-1000,288.6482905651861,Running Current,12365,Running,22,58,APP workload
vm-1001,Windows Server 2019 Standard,10.10.49.141,hq-a-vm-app-1001,393.65735758155404,Running Current,12365,Running,45,79,APP workload
vm-1002,Windows Server 2019 Standard,10.10.23.250,hq-a-vm-mon-1002,164.1168086895776,Running Current,12365,Stopped,70,88,MON workload
vm-1003,Windows Server 2019 Standard,10.10.152.186,hq-a-vm-inf-1003,240.31135338832564,Running Current,12365,Stopped,52,56,INF workload
vm-1004,Windows Server 2019 Standard,10.10.46.233,hq-a-vm-inf-1004,329.89302773513674,Running Current,12365,Stopped,22,79,INF workload
vm-1005,Ubuntu 20.04 LTS,10.10.50.102,hq-a-vm-app-1005,339.5206932982379,Running Current,12365,Running,74,41,APP workload
vm-1006,Ubuntu 20.04 LTS,10.10.126.171,hq-a-vm-mon-1006,19.531922379891338,Running Current,12365,Running,47,64,MON workload
vm-1007,Windows Server 2022 Standard,10.10.222.47,hq-a-vm-db-1007,102.21320622154506,Running Current,12365,Running,45,84,DB workload
vm-1008,Windows Server 2022 Standard,10.10.173.89,hq-a-vm-web-1008,106.18530285102308,Running Current,12365,Running,54,68,WEB workload
vm-1009,RHEL 8.6,10.10.192.72,hq-a-vm-db-1009,376.7268421700087,Running Current,12365,Running,66,41,DB workload
vm-1010,Windows Server 2019 Standard,10.10.183.86,hq-a-vm-app-1010,128.51309802835436,Running Current,12365,Running,60,75,APP workload
vm-1011,Windows Server 2022 Standard,10.10.234.166,hq-a-vm-inf-1011,61.31131215379878,Running Current,12365,Running,29,76,INF workload
vm-1012,Windows Server 2022 Standard,10.10.18.126,hq-a-vm-web-1012,72.23479339690401,Running Current,12365,Running,55,69,WEB workload
vm-1013,Ubuntu 20.04 LTS,10.10.3.240,hq-a-vm-svc-1013,44.991239173202814,Running Current,12365,Running,70,42,SVC workload
vm-1014,Windows Server 2022 Standard,10.10.77.103,hq-a-vm-mon-1014,105.04302098794285,Running Current,12365,Stopped,54,68,MON workload
vm-1015,RHEL 8.6,10.10.70.168,hq-a-vm-db-1015,358.88721429811875,Running Current,12365,Running,50,57,DB workload
vm-1016,Windows Server 2019 Standard,10.10.9.118,hq-a-vm-inf-1016,354.6076404727792,Running Current,12365,Stopped,76,46,INF workload
vm-1017,Windows Server 2019 Standard,10.10.186.137,hq-a-vm-db-1017,2.2975976605446786,Running Current,12365,Running,67,76,DB workload
vm-1018,Windows Server 2022 Standard,10.10.42.150,hq-a-vm-db-1018,245.6700821131309,Running Current,12365,Running,73,47,DB workload
vm-1019,Windows Server 2019 Standard,10.10.65.79,hq-a-vm-app-1019,58.94562211269474,Running Current,12365,Running,69,52,APP workload
vm-1020,Windows Server 2019 Standard,10.10.199.216,hq-a-vm-web-1020,285.1878567492643,Running Current,12365,Running,42,58,WEB workload
vm-1021,Windows Server 2019 Standard,10.10.121.194,hq-a-vm-web-1021,347.0705591191858,Running Current,12365,Running,80,55,WEB workload
vm-1022,Windows Server 2019 Standard,10.10.188.169,hq-a-vm-mon-1022,145.1562099278166,Running Current,12365,Stopped,64,73,MON workload
vm-1023,Windows Server 2019 Standard,10.10.211.109,hq-a-vm-app-1023,272.1794677477985,Running Current,12365,Running,59,41,APP workload
vm-1024,Windows Server 2019 Standard,10.10.44.28,hq-a-vm-db-1024,142.5084501195184,Running Current,12365,Running,78,72,DB workload
vm-1025,Windows Server 2019 Standard,10.10.181.187,hq-a-vm-db-1025,310.97488742851584,Running Current,12365,Running,60,50,DB workload
vm-1026,Windows Server 2022 Standard,10.10.117.95,hq-a-vm-db-1026,299.7758988145171,Running Current,12365,Running,47,40,DB workload
vm-1027,Ubuntu 20.04 LTS,10.10.185.10,hq-a-vm-app-1027,339.5640886714404,Running Current,12365,Stopped,61,58,APP workload
vm-1028,Windows Server 2022 Standard,10.10.166.32,hq-a-vm-web-1028,18.634442510129603,Running Current,12365,Running,28,46,WEB workload
vm-1029,RHEL 8.6,10.10.32.28,hq-a-vm-app-1029,188.1818331916975,Running Current,12365,Running,64,77,APP workload
vm-1030,Windows Server 2022 Standard,10.10.179.2,hq-a-vm-db-1030,312.8246423101219,Running Current,12365,Stopped,41,50,DB workload
