name,moref,parent_host,cluster_moref,vcenter_moref,guest_os,vm_version,cpu_count,memory_gb,disk_count,nic_count,ip_addresses,power_state,created_date,notes
HQ-A-VM-01-01-1000,vm-1000,host-1000,domain-c1000,vc-26d8de60,RHEL 8.6,v16,4,8,4,4,10.10.144.168,poweredOn,2024-07-07 00:00:00,VM for WEB workload
HQ-A-VM-01-01-1001,vm-1001,host-1000,domain-c1000,vc-26d8de60,Windows Server 2019 Standard,v14,2,16,3,2,10.10.254.176,poweredOn,2022-10-14 00:00:00,VM for APP workload
HQ-A-VM-01-01-1002,vm-1002,host-1000,domain-c1000,vc-26d8de60,Windows Server 2022 Standard,v14,8,32,4,2,10.10.190.84,poweredOn,2023-06-17 00:00:00,VM for DB workload
HQ-A-VM-01-01-1003,vm-1003,host-1000,domain-c1000,vc-26d8de60,Windows Server 2019 Standard,v18,8,32,1,3,10.10.42.151,poweredOn,2024-07-09 00:00:00,VM for APP workload
HQ-A-VM-01-01-1004,vm-1004,host-1000,domain-c1000,vc-26d8de60,Windows Server 2019 Standard,v16,2,32,4,4,10.10.46.194,poweredOn,2021-12-19 00:00:00,VM for APP workload
HQ-A-VM-01-01-1005,vm-1005,host-1000,domain-c1000,vc-26d8de60,Windows Server 2022 Standard,v15,4,16,2,2,10.10.47.122,poweredOn,2020-07-03 00:00:00,VM for WEB workload
HQ-A-VM-01-01-1006,vm-1006,host-1000,domain-c1000,vc-26d8de60,Windows Server 2022 Standard,v18,16,16,2,1,10.10.247.12,poweredOn,2023-12-05 00:00:00,VM for APP workload
HQ-A-VM-01-01-1007,vm-1007,host-1000,domain-c1000,vc-26d8de60,Windows Server 2019 Standard,v15,8,16,1,2,10.10.109.132,poweredOn,2023-04-27 00:00:00,VM for SVC workload
HQ-A-VM-01-01-1008,vm-1008,host-1000,domain-c1000,vc-26d8de60,Windows Server 2019 Standard,v17,4,32,1,4,10.10.76.129,poweredOn,2022-12-19 00:00:00,VM for MON workload
HQ-A-VM-01-01-1009,vm-1009,host-1000,domain-c1000,vc-26d8de60,Ubuntu 20.04 LTS,v18,2,8,4,1,10.10.102.4,poweredOff,2024-01-24 00:00:00,VM for APP workload
HQ-A-VM-01-01-1010,vm-1010,host-1000,domain-c1000,vc-26d8de60,Ubuntu 20.04 LTS,v14,4,16,2,2,10.10.88.17,poweredOn,2020-08-08 00:00:00,VM for WEB workload
HQ-A-VM-01-01-1011,vm-1011,host-1000,domain-c1000,vc-26d8de60,Windows Server 2019 Standard,v17,2,32,4,3,10.10.226.70,poweredOn,2021-04-15 00:00:00,VM for APP workload
HQ-A-VM-01-01-1012,vm-1012,host-1000,domain-c1000,vc-26d8de60,Windows Server 2019 Standard,v19,2,32,4,2,10.10.220.1,poweredOn,2020-01-20 00:00:00,VM for APP workload
HQ-A-VM-01-01-1013,vm-1013,host-1000,domain-c1000,vc-26d8de60,RHEL 8.6,v16,2,16,1,2,10.10.80.212,poweredOn,2023-12-25 00:00:00,VM for DB workload
HQ-A-VM-01-01-1014,vm-1014,host-1000,domain-c1000,vc-26d8de60,Windows Server 2022 Standard,v14,16,64,3,3,10.10.97.93,poweredOn,2021-02-10 00:00:00,VM for APP workload
HQ-A-VM-01-01-1015,vm-1015,host-1000,domain-c1000,vc-26d8de60,Windows Server 2019 Standard,v16,8,8,4,4,10.10.78.178,poweredOff,2019-09-19 00:00:00,VM for SVC workload
HQ-A-VM-01-01-1016,vm-1016,host-1000,domain-c1000,vc-26d8de60,Ubuntu 20.04 LTS,v16,2,8,3,3,10.10.254.15,poweredOn,2019-10-11 00:00:00,VM for APP workload
HQ-A-VM-01-01-1017,vm-1017,host-1000,domain-c1000,vc-26d8de60,Windows Server 2019 Standard,v17,8,16,3,4,10.10.96.162,poweredOn,2020-03-31 00:00:00,VM for DB workload
HQ-A-VM-01-01-1018,vm-1018,host-1000,domain-c1000,vc-26d8de60,Windows Server 2019 Standard,v19,8,8,1,1,10.10.94.111,poweredOn,2020-08-02 00:00:00,VM for DB workload
HQ-A-VM-01-01-1019,vm-1019,host-1000,domain-c1000,vc-26d8de60,RHEL 8.6,v16,4,16,4,3,10.10.155.200,poweredOn,2020-03-23 00:00:00,VM for APP workload
HQ-A-VM-01-01-1020,vm-1020,host-1000,domain-c1000,vc-26d8de60,Windows Server 2022 Standard,v17,8,32,2,4,10.10.145.89,poweredOn,2019-04-15 00:00:00,VM for APP workload
HQ-A-VM-01-01-1021,vm-1021,host-1000,domain-c1000,vc-26d8de60,Ubuntu 20.04 LTS,v15,8,4,3,3,10.10.65.235,poweredOn,2022-06-07 00:00:00,VM for WEB workload
HQ-A-VM-01-01-1022,vm-1022,host-1000,domain-c1000,vc-26d8de60,Windows Server 2019 Standard,v16,4,16,2,4,10.10.69.179,poweredOn,2020-12-23 00:00:00,VM for WEB workload
HQ-A-VM-01-01-1023,vm-1023,host-1000,domain-c1000,vc-26d8de60,Ubuntu 20.04 LTS,v16,8,16,4,2,10.10.162.171,poweredOn,2024-07-19 00:00:00,VM for DB workload
HQ-A-VM-01-01-1024,vm-1024,host-1000,domain-c1000,vc-26d8de60,Windows Server 2022 Standard,v15,8,64,3,4,10.10.210.254,poweredOff,2023-05-08 00:00:00,VM for APP workload
HQ-A-VM-01-01-1025,vm-1025,host-1000,domain-c1000,vc-26d8de60,Windows Server 2019 Standard,v14,4,16,2,1,10.10.243.190,poweredOn,2024-01-12 00:00:00,VM for DB workload
HQ-A-VM-01-01-1026,vm-1026,host-1000,domain-c1000,vc-26d8de60,Windows Server 2019 Standard,v18,2,8,2,4,10.10.233.131,poweredOn,2023-11-10 00:00:00,VM for WEB workload
HQ-A-VM-01-01-1027,vm-1027,host-1000,domain-c1000,vc-26d8de60,RHEL 8.6,v18,4,8,1,3,10.10.141.10,poweredOn,2021-01-12 00:00:00,VM for APP workload
HQ-A-VM-01-01-1028,vm-1028,host-1000,domain-c1000,vc-26d8de60,Windows Server 2022 Standard,v18,8,16,3,4,10.10.163.36,poweredOn,2021-06-10 00:00:00,VM for WEB workload
HQ-A-VM-01-01-1029,vm-1029,host-1000,domain-c1000,vc-26d8de60,Windows Server 2022 Standard,v18,16,64,2,1,10.10.63.122,poweredOn,2021-08-30 00:00:00,VM for WEB workload
HQ-A-VM-01-02-1030,vm-1030,host-1001,domain-c1000,vc-26d8de60,Windows Server 2022 Standard,v18,4,32,4,4,10.10.129.175,poweredOn,2022-04-02 00:00:00,VM for WEB workload
HQ-A-VM-01-02-1031,vm-1031,host-1001,domain-c1000,vc-26d8de60,Windows Server 2022 Standard,v17,8,16,3,4,10.10.253.64,poweredOff,2023-04-16 00:00:00,VM for APP workload
HQ-A-VM-01-02-1032,vm-1032,host-1001,domain-c1000,vc-26d8de60,Windows Server 2019 Standard,v17,2,32,4,3,10.10.52.170,poweredOn,2019-04-23 00:00:00,VM for APP workload
HQ-A-VM-01-02-1033,vm-1033,host-1001,domain-c1000,vc-26d8de60,Windows Server 2022 Standard,v15,8,32,4,4,10.10.103.172,poweredOn,2019-05-26 00:00:00,VM for APP workload
HQ-A-VM-01-02-1034,vm-1034,host-1001,domain-c1000,vc-26d8de60,Ubuntu 20.04 LTS,v14,2,4,2,1,10.10.248.56,poweredOn,2019-05-15 00:00:00,VM for DB workload
HQ-A-VM-01-02-1035,vm-1035,host-1001,domain-c1000,vc-26d8de60,RHEL 8.6,v14,8,4,4,3,10.10.91.88,poweredOn,2023-12-28 00:00:00,VM for WEB workload
HQ-A-VM-01-02-1036,vm-1036,host-1001,domain-c1000,vc-26d8de60,Ubuntu 20.04 LTS,v18,2,4,1,1,10.10.32.213,poweredOn,2024-08-13 00:00:00,VM for WEB workload
HQ-A-VM-01-02-1037,vm-1037,host-1001,domain-c1000,vc-26d8de60,Windows Server 2019 Standard,v15,8,16,3,4,10.10.225.6,poweredOn,2020-10-15 00:00:00,VM for APP workload
HQ-A-VM-01-02-1038,vm-1038,host-1001,domain-c1000,vc-26d8de60,Windows Server 2019 Standard,v17,2,8,3,1,10.10.254.187,poweredOn,2021-05-20 00:00:00,VM for APP workload
HQ-A-VM-01-02-1039,vm-1039,host-1001,domain-c1000,vc-26d8de60,Windows Server 2022 Standard,v16,8,16,4,4,10.10.238.245,poweredOn,2022-11-28 00:00:00,VM for APP workload
HQ-A-VM-01-02-1040,vm-1040,host-1001,domain-c1000,vc-26d8de60,Ubuntu 20.04 LTS,v14,2,4,1,1,10.10.51.17,poweredOn,2024-10-21 00:00:00,VM for WEB workload
HQ-A-VM-01-02-1041,vm-1041,host-1001,domain-c1000,vc-26d8de60,Windows Server 2022 Standard,v17,16,16,1,3,10.10.210.134,poweredOff,2021-06-30 00:00:00,VM for SVC workload
HQ-A-VM-01-02-1042,vm-1042,host-1001,domain-c1000,vc-26d8de60,Ubuntu 20.04 LTS,v17,2,16,4,3,10.10.250.206,poweredOn,2021-09-21 00:00:00,VM for SVC workload
HQ-A-VM-01-02-1043,vm-1043,host-1001,domain-c1000,vc-26d8de60,Ubuntu 20.04 LTS,v16,4,16,4,3,10.10.249.214,poweredOn,2019-11-03 00:00:00,VM for INF workload
HQ-A-VM-01-02-1044,vm-1044,host-1001,domain-c1000,vc-26d8de60,Windows Server 2019 Standard,v14,4,32,2,3,10.10.209.157,poweredOn,2019-03-24 00:00:00,VM for WEB workload
HQ-A-VM-01-02-1045,vm-1045,host-1001,domain-c1000,vc-26d8de60,RHEL 8.6,v16,2,16,3,3,10.10.96.100,poweredOn,2022-01-16 00:00:00,VM for WEB workload
HQ-A-VM-01-02-1046,vm-1046,host-1001,domain-c1000,vc-26d8de60,Windows Server 2019 Standard,v18,4,32,2,3,10.10.218.128,poweredOn,2021-06-10 00:00:00,VM for DB workload
HQ-A-VM-01-02-1047,vm-1047,host-1001,domain-c1000,vc-26d8de60,Windows Server 2019 Standard,v17,4,32,2,1,10.10.136.115,poweredOn,2024-01-19 00:00:00,VM for APP workload
HQ-A-VM-01-02-1048,vm-1048,host-1001,domain-c1000,vc-26d8de60,Windows Server 2019 Standard,v16,4,32,3,1,10.10.99.252,poweredOn,2021-02-17 00:00:00,VM for WEB workload
HQ-A-VM-01-02-1049,vm-1049,host-1001,domain-c1000,vc-26d8de60,Windows Server 2019 Standard,v16,2,32,1,4,10.10.10.154,poweredOff,2021-07-17 00:00:00,VM for WEB workload
HQ-A-VM-01-02-1050,vm-1050,host-1001,domain-c1000,vc-26d8de60,Windows Server 2022 Standard,v14,4,16,3,2,10.10.48.116,poweredOn,2019-07-26 00:00:00,VM for APP workload
HQ-A-VM-01-02-1051,vm-1051,host-1001,domain-c1000,vc-26d8de60,Windows Server 2022 Standard,v17,8,32,4,3,10.10.221.16,poweredOn,2022-04-29 00:00:00,VM for APP workload
HQ-A-VM-01-02-1052,vm-1052,host-1001,domain-c1000,vc-26d8de60,Ubuntu 20.04 LTS,v19,2,16,4,3,10.10.176.129,poweredOn,2020-04-17 00:00:00,VM for SVC workload
HQ-A-VM-01-02-1053,vm-1053,host-1001,domain-c1000,vc-26d8de60,Windows Server 2019 Standard,v19,8,8,4,2,10.10.112.206,poweredOff,2024-10-21 00:00:00,VM for MON workload
HQ-A-VM-01-02-1054,vm-1054,host-1001,domain-c1000,vc-26d8de60,Ubuntu 20.04 LTS,v18,4,16,4,4,10.10.226.88,poweredOn,2019-02-15 00:00:00,VM for APP workload
